# ShortMsgKAT_384.txt
# Algorithm Name: Hamsi
# Principal Submitter: Özgül Küçük

Msg = 3DC2AADFFC80
MD = A4EAB9FCC00C1B2F606EEF71E5F9AEB713E36FBDD01347A7E74A3AFA8AC6C887B9E8771E3D4228A38431302BCDCF1924

Len = 42
Msg = 9202736D2240
MD = 37CEE47C7FF2B01B78419B2E81623EC493E7A32E85B6A78DB25B144B8D5482934FFF6EA4FC0B072C54A48F50B1B29662

Len = 43
Msg = F219BD629820
MD = A6B9ABD938FADFD8D3043049D54C722144C0D72E6CAB303DC60EB036E5DB3BD99673287B6E6EFB865FA70734875311E5

Len = 44
Msg = F3511EE2C4B0
MD = 42D41651CD10036B39BAA3F847ACED92D46647E2D9B51B1572EE7F941A60B604B406DB2FCBA9F2748C825F64D5138DB0

Len = 45
Msg = 3ECAB6BF7720
MD = A69C9F54BD705A79438D29A43369DF23B8E8FB70121B1AD3DC68B9DC061E0B63BF8740FDB95EAF399DB951F069D25D36

Len = 46
Msg = CD62F688F498
MD = 92097817BDE5C9C9B31BF5ED0C9BA29A0CAA254CCF0359324970C25C6F4E68002CD3C5CB87FBE4643C4847C992AC5343

Len = 47
Msg = C2CBAA33A9F8
MD = 044A59C2414F79BCDA6E683280066ED05E68066D0EDE2B761A3C85A25AE434F7544CBD47F9A6ABDFD93368CDB21D5353

Len = 48
Msg = C6F50BB74E29
MD = A86EA34B1C88DD353D8CFAEA2683A852933FD38EC2F730296B1371A72E75FFD72AFDC785B9DDF7545BF92EF42727F27D

Len = 49
Msg = 79F1B4CCC62A00
MD = 79D6450FD47C3D36A67C1A6B19229608A910EAD67D046438F34F84AA048CA6CB0481CB3A7F82135F635FA1EA134D4B53

Len = 50
Msg = 90239D7EA2A5C0
MD = 540DDD06ABDD0B02BD04A51BBEEB49B4441B509ADD3A9776CF14099924343D23D1B4E4CE02650331542D30707CF0A38E

Len = 51
Msg = 9AF4C2D144E340
MD = DEA08AA575A31BF1DDE247720CDE91785F0CF0B8E791FE44C42D4047FA83D7739B48E658D9FD33BF1F3A4E4E49D7A0DA

Len = 52
Msg = A4F2613FA7AB70
MD = 59114AC6A4C297397EA6DC6084B00E9536E5AF7AF18D87D561664A679D7887D128A32BFEEB76FEC2C48D7597B4B9DCFE

Len = 53
Msg = E863B85EE7B528
MD = D9E95BE0425C8549B69ACD5136AAEDB9EB22781B73C2D6033E43BA3A649577730E79610703A476A3AC6A53D4D4B6DA92

Len = 54
Msg = 9F3D6D6A44B684
MD = CF7F5CBC91FE526011C7CBE99F6AFFE945BD42439707DD72AF81907B9E711EDE0D7F7FA70E88A630C270B9A2CC8F8E6C

Len = 55
Msg = 14B06DD54EB364
MD = 6FD287FFA12C9469312985D60122E8509D4D08686703E327FDBDEC4F3DFF45A0D9830932041D7C4FB906F95935666DE6

Len = 56
Msg = 119713CC83EEEF
MD = 42E9927B59C588EA056B0BF17CB47F697223BC2ED69036A5484A26A964EBD749A6F601F7243F15C269689B17D3824E5C

Len = 57
Msg = 8569DF971E674E00
MD = 3A89151DD53A43AE7DF67BEFE4E5A07DABFC4D7867CECB516F218AD51904996379C4A2D44467673C053020354077883B

Len = 58
Msg = 42DA39AC5951FEC0
MD = D4AAC763FC8EE0A847C2357BFA34D57BD8032EDF1936F33FAC4D62259B30028F80B2BDFD4BF888D72543673FB2C573A7

Len = 59
Msg = 230688D359F31380
MD = A53708294EF6046386E0E9F029F2B2007DBE87DE2D01301CC88DEDC65DD089D4C7399EB34C8086D3190BCF0841B25BB1

Len = 60
Msg = BA594E0FB9EBBD30
MD = 92BAC8458E3DB4B2CD556E66959371AE2D03110E296923D6649F0D707FE2B03406CF03083E271C955ED26D7B241FB9A4

Len = 61
Msg = 9D1BC347E3B05240
MD = FA8B1E01726219365548AA99621CE6B64EB661C04CF7D1B59BE84CE86EF06D86E9240F151F02C92FB77AB99495D4E1D9

Len = 62
Msg = 756FDE7AB6CB531C
MD = 2AAC408F619D2C423072F47B0C8EC7C2C42879984E7DC589E03147FA575E10908C1B3CBC54C232B7F2FC7A3A43A99012

Len = 63
Msg = 669DAD29EA0D289E
MD = F11E867AD42F5579CD8F28011F33F84F30A8009E2B4BEE16D5BF8CC9B76F7E75BE69F4A19C4DC212C1F9E648A55E4012

Len = 64
Msg = 4A4F202484512526
MD = BC1C061AD5F9895776D7DAC93F6C1EE0445515029F0D5D239C65F4CDFECE17222E9CC8E8793D2F129EDAA61F7112A432

Len = 65
Msg = C86CCB0A4116026080
MD = 41C162E17A54C3E4BE03A75BDE4B98ADD8A9FB4854849CC7F1E7BEA64C322D6D75A36FB4A8F5B543AAB00829D9229D3C

Len = 66
Msg = 7A556A043BD867FB00
MD = 8758F097C2C9664AFA1FAD01779DBF93A9677340E6327F7735E51F5C142F18506041A4FF7C49C5093BE93B73DE54B9B5

Len = 67
Msg = 91829C7B4031005880
MD = A6557D56D9E3DFEFA077707F1DB652DA16EB98018D596203A47F8F4A6AB7D2382ABE72E4CDA890F6048F1EF00AE20819

Len = 68
Msg = 0462427C865798D260
MD = 63927608465B917F9A5A37823B653FFE1C6DC16CE1FD75D188359D83711A0FB2E2B6BB15145006040B74A439F7E8AC6E

Len = 69
Msg = A51806364AFBD2E830
MD = 2BD31559ADFE025F7FACC8D29F2B23B9299C36A572B247F01F7F7BCA6AA2EC3B2B690AEFCF5542FAF6557A382F661E8E

Len = 70
Msg = F8CB65B7FE6995F200
MD = 29E8DE3CC139E9F0A501BC6D674D404F930A5DEAB978AAECC8C532E385F0D6BD59DAB2A05B802B8ED8C1135F8DF7932A

Len = 71
Msg = 454C87F43DA37EDB04
MD = D4B5F6148C9B128B76BF3FA9FE414BD98EC588A669C806CEDF9537AC957C241E1C02C198649347F078FF960EA5D9392A

Len = 72
Msg = 1F66AB4185ED9B6375
MD = FB38DB5B8D9DC1F21A09B379924414260DA7FA204CD3DE09C95F85FB948E06A8B85F5CFEC6DC68FFC4576B938E37CB86

Len = 73
Msg = 5D7C71C275D9F5613E00
MD = 98230064540700C74629F0F8859DF9E9381867797696AC8A6CD80CBC09557EFB4D81A70723EC55019D1979539F652356

Len = 74
Msg = 1A533E4BD100A83884C0
MD = 80772915B51CE758856E3C4D1FC53FFFB566DF4AB8A63377645656EFAD8EDBEA5F887DC8130EBB6B2D385EE429211AF7

Len = 75
Msg = 7C8433BB4FD46EA17BE0
MD = 2F1267FDA250B2D25519A4301FCFA4A0CB1A0ED0C9B919E1507CE19C40E0274C1D2A84BFE1D46C8F26C1CD272D9F371A

Len = 76
Msg = 8CACC33C81B29F0E8830
MD = B5C14ECD1C1BDF2ECF298360067BE669C2A5982D957765D37A7C675DADEF98C0CFAB10934932DCF628F6C8D5D13307FF

Len = 77
Msg = 9CD0B4A48455A6716AC0
MD = 907DCA4C2597E10B310AFE9CBD9990C6C760B1A1FA54D189432DE43F75083745B27BE56E066EF85F500307E8A4946AAD

Len = 78
Msg = 4DBF1B5FFD3D72D20F50
MD = 8B5B43185469E978CD3A97B99C0BFD4877C38145438F7FC975D612B845A49291C52B0E1A4129C08B3FBFE9D50650F6DE

Len = 79
Msg = BE31E2945E1BA17901C0
MD = 1FF304FA6312869C56299CC8DC42B2562C7D957E83A759C6639A8B9C970A4FD726DCE8428150615D11EF07C707695AC0

Len = 80
Msg = EED7422227613B6F53C9
MD = F340093C2FEE6605EE05D1CA09FA2E295F8DAFFBC97C2B84E00BAAE82B1BD94D133B6E89E385D2921477E5B6EF247932

Len = 81
Msg = 77B56B460796582D1FEE00
MD = A1D4D85C9D1B8161608FF92B985D5C58E7F9AB6C03A81029BC51B65A4F45C4CD5EE481661A3DC2530F0D4A9A66943B0D

Len = 82
Msg = 5F085C1F91F2E5EB05C840
MD = 06157F99A179A6B78ACB7A0E54CC6A6CA032050A4F681AE3CDA4FF302CC811CEA8724C9B3147D37FDEC8C4ACA23EF037

Len = 83
Msg = E5E559373233E6EF933120
MD = 3B2F626D3B5FCBF95F52CD7E9D888A455A07A7EB1DF886CFCB6AD1D49852FBB85A68CADEB1856626348DB50BF42545F3

Len = 84
Msg = 670C357239C46D9E96DD20
MD = 890960E5DFA51764E81D5EA2EBE2F87157EDF705EFC581E83E4F3817A9055FDD63AA9C9BE0BC178876F33ED0B1435334

Len = 85
Msg = 33BAF96B35241EB2243230
MD = F4445A84D0A1158A501312DA36A51ACCFEF99980E54D3A7E93C74B2B9A89AD7A00B45C8F62CC3218092B94DC3B6C49A9

Len = 86
Msg = 7148A621D35D6D486BDA90
MD = 39C433CFBF34D8C118C822E2E9E8CA975CF5A3E8B5C90F2FD221BFC011FB8DB48CE56C1AB0DA62C5F0FC715A3D23AD52

Len = 87
Msg = 9D7146B5E9C8246BEA8C4E
MD = 0A93B14D331C8CC65036F63D66697D4D9463B7E4B5D1CF9E08AD64C2434EDF1A749A84E1B76BBA5AB33B6DA4BBA4ECBC

Len = 88
Msg = EAEED5CDFFD89DECE455F1
MD = FD0B6772A0FC188FBEEDE165C40B055F8A1549CF532AEB8BC36AA13DFBE6F06C21239F975C21DC6CBFB11CC2D4CE45BB

Len = 89
Msg = CAD98AD0D9BF161229074280
MD = 4A809AD59E4CE924A96FEBF6FFB7B1C5E9C435B08855E2DAEA18708F86002315F03F246AD5CEAB021C1820DBF7F38731

Len = 90
Msg = 6B767F82890709DDF7A1EE80
MD = BBE1C7410D9A5ECDF1EED18A0958D63B829A66E85F5B3196088219C1CBD8598B9E582F71BC07208482B74B72C21D01BE

Len = 91
Msg = 73697688CBBF28C51DDDDAE0
MD = 68625B764EEBC5447FC7C1BAEEEAAAFBD3F8469EB21BD63535362EE95EB22AC394CE5E10903FD002BDC9755468FDF9E3

Len = 92
Msg = A3C1967A97E58B43453D3760
MD = 756F7FFAA25A7F132A73A9D2D5EB1907C796582155A81DEAA424732EACD8554EE768167955A7AE3A90CC891BF3B1027D

Len = 93
Msg = 03981280D89F7EC9845C29A0
MD = 7A8A6CB60CF326A23B0B6BBFE52659D6BD591F234A2B97DAA377B15E99043163E0FFABE3A7FF2905CFAACD2536221325

Len = 94
Msg = 0E42E6EFD4D3785EF0BB3A4C
MD = F17548C5AB235C2DC7CEE777C5886E126BE9E309F9D0B5EE8159336AD41021CB689B3D9C477A3679A63E484E24CE68F1

Len = 95
Msg = 6CE6B3C077865CAB3D099B66
MD = C5B8CE2BED434834C2A92E55760566249102B2C3FE1B9EEF79D08B0677430F62B42FC5EBCC37C840C5AD5D127984F612

Len = 96
Msg = 5BE43C90F22902E4FE8ED2D3
MD = B115EB6863D3DF7FF82EAA77CF27E16DA0AEF53DF954DAE6A1E6940F128A8AD389130DFB957F2A314AE96CFF5180E7B7

Len = 97
Msg = E94F8C8A909FFB8DF22C19FA80
MD = 8D6832309B25C6CE4D5183CFCDBDE8BB53E92EB00816837DDE03713BDBC820E75E0893A8FC8FDD3548B505743E2A8B56

Len = 98
Msg = 004761F6028ADBDC4D5A8CA640
MD = 5C4AFFA25FF8B62E57216A4F35DEA9FA04A1B514E25A1632FAC53E9751FAD5BD61970B359628269D44B0AC6B5134BB5C

Len = 99
Msg = B1BA2223CC3AC042D06554EAC0
MD = D70FEE572C9B3832DE747E13F527D84215EFAEBDB419F78A0558C455CB9B2962A20B32E56A40678D30E345C3930172B9

Len = 100
Msg = 746122438AD1B5B8989D64B320
MD = 61C931E26FC2A73966A86EDB30589978D5456A4C42EA6071387A54F209CB911561D49AE327ED413CE0F37C4CDC5CBFD8

Len = 101
Msg = 3DAD6E4B69AE8BD16D830213E0
MD = 57D62F7A7D77CEBED5DF88AD94B60455E52063419BA38E65BCF63FB3B808D083BE7BB4B60A9A1A7E89CF994556EF3656

Len = 102
Msg = D441F54B918819F36B220B9608
MD = F5C082DEB5A449A25A894604D26B3965E634947B8D31DDB27A444A4F02B21A9D15BE624D2334FDE176AA1FF454595199

Len = 103
Msg = F44CE7427B6042ED343F6D2194
MD = 0F2F72B7C511FD92D9AF331316D01A9E50B16051857FD7C8489ECB40C59853F0EEB7610FE3469AB9A2851CC1AE10B03E

Len = 104
Msg = A746273228122F381C3B46E4F1
MD = EC715D44CF1465CAAE6E0D620CD4AA745D7240AC5FB7A18A8BF84B5AE27F411DB289313DFBC5396FE40EE2789257C56F

Len = 105
Msg = B883CDD1742C224246784DB69080
MD = 29B740286DE925903ECD4D75D6671C759B6E8512A598C9274D5942238EFECB3296BCE4E26803AAC007175A108B7CDC25

Len = 106
Msg = 555FD729751EB2F8986B19578740
MD = 6D63EAD3FE0F0AB1E31B3590ECE0F650E5174C0C511F714A912F20D17E432A3B700FB893E58BA2333513B6CC7D0796F1

Len = 107
Msg = 7A609524C0F706F629441B978AE0
MD = 4B8630AD0F9E7CEFC731678A0ECE2D9A720C96A82F3B7597C70D78D50829480DD1AAD37922D044BCD8DD9BBBE3F6C01D

Len = 108
Msg = AC79B374D401EFDB3232D0826C60
MD = 73D60F9C50F3E830ED49E9C633208FD1D66AC1F054F458B651EC0521A0B77CDDEF75DD769D7BB343D50B2B35DF5E2626

Len = 109
Msg = D8FC20BD0025C7582B7946947918
MD = 367E20CFE3E03F22E24DE982FA91EA346F6332593E2F4AAB4AF51CF478C27C4AD2563DA6F5F1EA5805C79BDAD40A59D3

Len = 110
Msg = 0ECB1FC3F81F3236FA7B91F7AACC
MD = 4D5867E645F737C7F9728267550AFF2B705138B39816C0FB4EB98080B8AAF9272FB31C3579C11F02E11D4FB3271FE0FB

Len = 111
Msg = D5334CA10554C583F11D9F84A71E
MD = B659DE63D430C398866033B5770BCDCEF1B45C0FA76F8A829EE493FB6DEF0C4A390BB73971C15CD099ACCCE0EFC0D7D1

Len = 112
Msg = 3C5871CD619C69A63B540EB5A625
MD = 0F90C0143E36004AD0F3D57C873DAEBCAA0E29045F18B435D1647FB892F04435D37E2B98DF0F0767A790C506CB64661D

Len = 113
Msg = A999538B0C31D7339A217C1484C680
MD = 15C26BB53C7B6AF71C643EDEB73759EC4CC7A0682B702EF620BB9E64E17311B26B04DBBB06B470093C58813514A696B1

Len = 114
Msg = F4D4FEE364CE3CF439D0160EA7E780
MD = 03EBE089834F4BE93783086DB230E88D0AE5996BBCD667379B39AB790B6703C3F3B775226FB0A97DC81F3C63F2CBFFDE

Len = 115
Msg = 55A4FA6097E8753CCE38FB4E59D460
MD = 6625C5ADE1B45E28327F2CB8ADCABA287FF497294B96CE7A53456DAAD9C97C940A101CD79E6747C3FEC9C056C0719F57

Len = 116
Msg = FEE0239360210B6E3761E6059DAC10
MD = 56CE40D1C1525FB1A358F932EBFC56D745B042A697E78174996A2F102B9E069DB9470618EB7B75F4543346096B359A75

Len = 117
Msg = 1750D5D521528582177DCDB046E008
MD = 02819F78686D97C339E7A6B632FAE04E3AC01AC05E4EF04EE7DD0D8956C4D1F6F4059007A09C91703F3181731A837427

Len = 118
Msg = 68BF3921EF9DD0B6ABF732D9E508A4
MD = 6724C5C900A2DEC7D0616F07E8A362535E572699DFC7659D6A4B1951B859D3EC807BF7ED62B94953EF754D39A41C3C85

Len = 119
Msg = C26037F951B3CE27D56C0303432FEA
MD = 7CDB55455358D26961AD71B0DA253742E285D27223626C3338DE12116146DC177217C6BB8CEF17667D3E9B5D488E0F89

Len = 120
Msg = FA22874BCC068879E8EF11A69F0722
MD = A7F506BF91E5D588A206A8CBF03DF6D5D983C83F6F48AF0358C555E8CED42589C074411F3457D5D2E989C8A28A1D5CE1

Len = 121
Msg = F3D384F6F8B0F7683C2875EAFC19D680
MD = 98835F1D9B9CB28CBA228C5776DB990E44816D213FE0F1B5F16B53306513529858FB5E178822001A40F5E609E78400FA

Len = 122
Msg = D8A9E01B7ABA9C15F27C650AA6D98040
MD = 4A6E1BC514CBA2F14BFFA5E65315EEC16781F5D1866B48767CE92C8C8F361AAAE612F52F37A559D1F59AB1FDFC63BC09

Len = 123
Msg = 2CFF7186405B02024C4203A7FE7A11A0
MD = 36D899ED151DB6C14DD8E576EE7171BDB870F8AB7F5D25A127C436D41055E58D0224FF41EC98C8CC38834440598B1D6A

Len = 124
Msg = 87217854ED19AC6E8AEF3B39B97CD350
MD = 04D120268AAD6C93111933500725F7CF8F2BD8FC09945EEF1D9183F33DED22EECB59803372A240E7C7AAAA0F0BA91196

Len = 125
Msg = 441D8FC5478410033BEE2F3DA9FFFCB8
MD = E49E8195281185D4EBDCD6A9265E883011F0FD4AF7DA0B4B32F6DEB634C12A59BD070409214FA6F89EC7CC7A375F5B70

Len = 126
Msg = 0341698E451A235FEC3A6BBE42C07B04
MD = A20310FC8DF307CE4209CC4A8AF7A26C2FA4D890D61DA9684EF8F184E81CFE9A38230F8405DEAD573C514889F9C5257E

Len = 127
Msg = 2C288B527CE3F931B0C565BED2C62758
MD = 56FD9D517691273993963939121402263413B74B847516E7CF2DC6368BA813F70176B79758612DEA1F22651FAB4377EE

Len = 128
Msg = 52A608AB21CCDD8A4457A57EDE782176
MD = FDB2DEE5EAE62D593FDA9D34E4C573CDD882C1A091BA2C2A8367AF5C24D21980F1C0E1CECA38131F2981515980477687

Len = 129
Msg = E35A1AC6054BA5FECE64AEB3CB97ACDE00
MD = 523DCED5EEC88D3BB5F1CAD81FE2FF18005A19F9E80B0645AA609295E51B365569069387F909E44BAD0D86F8DFC5D78A

Len = 130
Msg = 34EE2C639DF9C71BA46E88058962D3C2C0
MD = 746DAB175116E19A85699D951BC242D609429AED58963A23F0FA370089247063C956E499B9568AB57985C8B7BFE1CE7F

Len = 131
Msg = 5EF1EC3AF3A823667B01CEB7069C3D6F20
MD = 4AA5E4C2A091649B168A22F063C5D31EB1A6366037CC641AD557FA12045755A7B16DD516F035BB1A1BA38A588EA39F15

Len = 132
Msg = A4E76D43E7CC38C19ABF5B09F0E2104E80
MD = CF918791385E29A2F4EE059C92C8ED8752A6F06E6599984EA1DD37C96D3D7E7D8064B77832D502F05846533746F7DD6E

Len = 133
Msg = F7E6911439AFDEB747AEE1DA0E64165B98
MD = 57975FD9DAD344900B0728BDE07C154B824F64C28842D5DC0BAC249B2740B9D82CCF2D1C64C1A36A111BA18DDD5E3361

Len = 134
Msg = 365C16113FEA84CFAA647B4B6BAD705F74
MD = 20E00DDD9227E1ED6405B088F134CE7A73DCD5362BCBE94422A4F64F4251E67848FBCA16EC2CC644CCB3FF480449BC90

Len = 135
Msg = D783EE042795EA5E2FC9817DCC24CE1BF6
MD = 5BE54808F7F57357CF6976A8E9EC185C7FD7DAEDFD31639EAFF86DF58B2A1C2B14C21707DCD86C410B6A657042D8C1A4

Len = 136
Msg = 82E192E4043DDCD12ECF52969D0F807EED
MD = 521083436A4AD035C4EBD4C97E9E309FE8F5516F5B75B1F908FA869706D7B65BABDC0CB5278CFD30D611F238C538B5F5

Len = 137
Msg = 7E3F13DB88EAA22EEFEC3AB47B7CC5AC8080
MD = 3F92A70EFAF75D8114C05245C8D21B9B998DE0767090955CE666F137786A53BE69FD4B28F43E9BC8DF2DF3DFE61BE29E

Len = 138
Msg = EB673EAA409B4F98C581D8DA542EB58B1380
MD = C679762CB13CE6701491ADCA7E2B65EA431BE997FDAF7D80352983A0D0CAF826502615DB2EED81B9F15B05C19FECE622

Len = 139
Msg = 84D42DE0D62B7A480FFB939533283B7A4440
MD = 6BCD8A0E4B3FAE97339A686C7A10EA87820487ACFC24845A5152FD1FA15DC3F14EBDEEC16C089F73747BF74446125684

Len = 140
Msg = BABAD873529BE92E9BC49CC71964A554ECC0
MD = 355D4467807F03A8C6198CE4EC1F2DE0E1BA2688A029B8D3E9305FF177E5D5AA7629E58C79DD32DB3A0EC10065A756E3

Len = 141
Msg = DC3BB8370C04147834819A2845A79B5A20F0
MD = B79CE72943ECA1B8109EBD3141CAF5A5CD2713BD2CBE1A52DEB23EAFC69AF19A0E15DCC6CFD97324F1208002F35E3E67

Len = 142
Msg = 8952BE55B2BCA64F32B5401A99A8392AE39C
MD = 02C43FFF34FE48EB6B116F84AB1DC7C1657A2A9213DA545C33C55F9B9AF1158877053C74E6521DB4C916774E62C83DC4

Len = 143
Msg = A53B4420787D32433A0DFD5D09E5D8E7374C
MD = 7570CF708C8CDD6B5F1069816060EE5758A82ABC05DB33059F70148907545C509A4FA5C12A4BF50AE9BFA1334135855F

Len = 144
Msg = 75683DCB556140C522543BB6E9098B21A21E
MD = 967E30FB15A83EC7435DF83A417E84A2DE28CE6922242E0B6F4BE81C853E5A919F52628378D209FDD6ECB368768F46C9

Len = 145
