# ShortMsgKAT_512.txt
# Algorithm Name: SHAvite-3
# Principal Submitter: Eli Biham and Orr Dunkelman

MD = C74DD5CCAF809C5F7BCBEB2EF8849FA998AE0E44E1585B15A3E351BF9FA2A407302884F2973702D55C64750A4865A56ED659DAAD6B26B24E609F988A7617E688

Len = 33
Msg = 8D73E8A280
MD = CA25FF962C7B3E2324160111CEFCE21DD72413284959AD5FB60BF2D4A2F29AF4647E8993D633194AC2A5DDEF7C2F59FEB2CB24D7A4AE245EE40AD5E11FD469EF

Len = 34
Msg = 06F2522080
MD = 65379C305B16D3474DD6E2DA9D09CF3069C74F5AA07403A6C5A93B68B8F40B04DD34343E8F940D9AE1E38EE314D39B671EC5AB8BC93F857A9BA80B267D34E58D

Len = 35
Msg = 3EF6C36F20
MD = 672242C2A3FA8D4159F2D43B963126FD2547A2AD3CBD56F00E5858799733E67D50F20D2C33B59282CD22BB7E26F669641CF3A19352FAB1F8AF9FFB9F40153FED

Len = 36
Msg = 0127A1D340
MD = 06A028AFD192909F403DCCAD5E50EB1A4093870F3F09652BD5CB5B43FABC4A1F4F6E968D946809C2239ECF5F310B9854DC6F1510A6C4C8F108A1E3444CE6F401

Len = 37
Msg = 6A6AB6C210
MD = CF65313573D8D82CCEFD29E329B0B17B47D088EF3D30E59B994D439222F9F8A104770B888EA9D646CF1B9358E6B5333F0E046FD42788AAC1D40D6735061A8927

Len = 38
Msg = AF3175E160
MD = 7AABE706EB439DE7379380CC03DA48F9C13E698B185BB2AC2F646C342DBB195C5BEDE18D90AEFC59DD40D41CEA159D460DAE585250C1A434D71807732721517F

Len = 39
Msg = B66609ED86
MD = 0B1D816A2C01F5B76420A5A9EC4FC6F3F3597CB621B615D174BF3A3E01E44EC9A2F67CF94D1ECEC42B3FD2C10DC4356E644AA97E805A7CC5B5E45E38BFB5EE66

Len = 40
Msg = 21F134AC57
MD = E00AF7372E2F7A65242276AC860D42F038C13486E8B65AE793008021C99D14FC733E7ADADC8FACCB1A6162493465C498E131D612BA5EB85EB28C3AD1267E0CA7

Len = 41
Msg = 3DC2AADFFC80
MD = E677497F85463E3AD925B5236D055A9E5F20F64EB978E02FE57A8ADEC5858C18214F709694762797A3EA860CA573B57165C1162D9B746C3566341B2919E8E5D6

Len = 42
Msg = 9202736D2240
MD = E5E4A2E13FF6C86CF733BEF21BC99E69237F89A34ADF9AB8C8A80E77E8DE81C175E720359B042B034EBB9582DAD1B6957D7673944EFC60B6F03628BBC781BB11

Len = 43
Msg = F219BD629820
MD = 1D7F34530D487A39C899E62AFBA4BAC1E8D1E8A3242CF929E85F7C90478A79FD3943427FA90E8A6CE917051E278477721FD48B29E2A64DC8FDE816A6FDB2D4C9

Len = 44
Msg = F3511EE2C4B0
MD = 50A77629F5AFEFC787F775059457E973EEDAFDB5AE99552E9615D810E718DC0E6235E4910C45CE68B1D65D460003716FC20F9C43FC004B6657BA4324FE6DE601

Len = 45
Msg = 3ECAB6BF7720
MD = C7BAFDC1BA152C71BC65BED787D7B55BB9DED260F8771235E051FC2497E0B233A473D7308988F45CC7A9BAF1EAECCF8310B52DBB87E24F0EA1A88882FCCC485C

Len = 46
Msg = CD62F688F498
MD = 362BEE076475039DA3D12FB7602089153CA720E7A286DD6FD16E940E0FCF712E78196945D9F10131FDD9C1712C41336C469AE2A327E323816087593BAD60EBAE

Len = 47
Msg = C2CBAA33A9F8
MD = 556AC75F271EF251CD3717BE72C8E069A58BA1D17ACBA954D33AC7B3BD101894FD27702B8A33275CB669C8BFDE46D22179054B6F38E1C5AA4F6B3B5006B2899F

Len = 48
Msg = C6F50BB74E29
MD = 83B9ADDE123A1569BF72F8798A013C51A8158BBC917027FFD21C2F4F1E2326E6B479E06A2C42DBDCE1A47517F5DE0309BBB235E0F66BFFCD2525B2237E2F4F71

Len = 49
Msg = 79F1B4CCC62A00
MD = 7A7E8CBE455CD29E0E1DC483E2C7C71450688E9E4995681A2D27D0C438834BD14E39F922D39757593A401A2BCA06B962132C2A03B2E6C656CD36E7D61BF36C2C

Len = 50
Msg = 90239D7EA2A5C0
MD = 59D6DE4726087D5015DFD6FB63005EC162A1257FDA7C490E8A8D5A11C65048D27B6389C80B2F09F059F1819437F657AEE82921D78E1C0478934E8ED76169BDA0

Len = 51
Msg = 9AF4C2D144E340
MD = F854A80473E28FDF7DA2048589A46C3F32A9CF712D073D549C7E4016F3F27A70821D08EDCB205C22774045C6E4B539656B57825D2D12D308EB13DA13B03ED820

Len = 52
Msg = A4F2613FA7AB70
MD = D72CBADCAA000EE7EFC9664077F71FA928732F65FB0A82C14734C84A74B566D22891D462157C2ED1A5924745540C57ACF61C848666FEA6AF1B2B759FE92530D8

Len = 53
Msg = E863B85EE7B528
MD = AC926A7978B78DF80FD7A6BC5C332585C0741E86444F8FBDA73452B90D50A5EF0466E0E9252CCBAFEB675471E3BA02F093510147FBF37CB4241AAFECFEFC40FF

Len = 54
Msg = 9F3D6D6A44B684
MD = BA0359996570AD02FCC707375E060A6B024D983C0BBAFF4F62428C6C14BE1025F1523B80F0DDB0EEC8CBE8083372CF272C4A445C111B26C16651A9CAE90D5CD8

Len = 55
Msg = 14B06DD54EB364
MD = 9F819C3BF525384FAE3A36F2C4596069355A881170BD45CE561760A71C54F927B3A4E3C6A70E75BD0D8F9361342CD56D2927DC2D1E878ABDC2B29EA4E24576A9

Len = 56
Msg = 119713CC83EEEF
MD = B3065AB5DE7257B9DE47D74AAF23E8F5C3E1C0390F539E1F8E3EFBBB5945464BDA9C2CA86B2ED5CFB938CB6D25DF146C5A3A3A731B26F418EBFA0437BBC5E168

Len = 57
Msg = 8569DF971E674E00
MD = 676EAE6DEC6E5E78C75483DE03C0F98F429DD962D94D82D408F524395F02531483EC9FC6202738DC8C957DD1882C25B98E8A6ADE89D571A8E16568E5899E37D8

Len = 58
Msg = 42DA39AC5951FEC0
MD = 97A0CA5B8461C5F5EF169A40C885AFC86A0BC1B1B7BC23D3F60FE449B777A6F25E23095453BF4E08E3F0C1CEB42495D32A308556E6C0B9C8FCFD4402AEA38423

Len = 59
Msg = 230688D359F31380
MD = EF882A2B7E285452BA7F6B168EBF836450D1B0616F88D6A7B2424BE202EE0B39A06CBE5A683A6947F5D1CFD19422A052097BA6A1855838E10F68C5BF0818FB51

Len = 60
Msg = BA594E0FB9EBBD30
MD = B2E4B53AF2A5B5EA8333AC70571F3635AA20A0A795B43C3C66B40E5A3444A58F9A3E211C986DA5C453572F0C5CD4BE35A0D1302C4A410167EA4187235F61BF4A

Len = 61
Msg = 9D1BC347E3B05240
MD = 250A431ACDC8433CCE7B4EE642C5887DE7D8A89E27048F509AE5369B6724B285F73CC9C4A8EAC2249881D64AF2F0BF73111FFFA6C40601B855FC72C50CBDAF49

Len = 62
Msg = 756FDE7AB6CB531C
MD = 019D375FB7055D3F26ABF707F7DDE53566274C194BF6020372E9BDF8E7E77D78BB16BB98A6E7C66BD056DD598670618E5EC034DB73B9E42E225D5CFD8324F227

Len = 63
Msg = 669DAD29EA0D289E
MD = 933BDA5E06F785EB076EEE36E954911AC35AC0DE7A835F2EB479E19BDD88DE4FF26D1D808B9E9428281C86AC462A139574806D2FC43559DCA326BD2192FA05D3

Len = 64
Msg = 4A4F202484512526
MD = 8D9FA0DE08BB8AC130FC7C4F493C884D1011CE804C1CBDCD41A86DEA28756422596610C5FAE55F5F253F303E378B39B5E7E6500E9E84D594533F2F5FFC3D801F

Len = 65
Msg = C86CCB0A4116026080
MD = EDDAAAD66A4A34DBB2C6ED295B8690EF820CBE34F02F6C730E67B45590CF27D2B503A533CBC21FF416077D3C3F57E6A8E59B83B5BAC2F388E655B6B398AB267D

Len = 66
Msg = 7A556A043BD867FB00
MD = BB6E30653811F6A65FE2E715280B2296D87E8A6F65B85DD7DABB19FB7375F9E2A6AAE8ACD3D9FEEA518E3BA6A5123C62CB665D54D06EFE7F742C54FFE8C06109

Len = 67
Msg = 91829C7B4031005880
MD = BB0B9711B7E2EEA2072B5CF8783F91597FAFD1E6E6607C6A0C84BB441689C2C8D4FAB98B753BA9319398B15B0839B5998C1F2DB554EA225C279484B929DF26F2

Len = 68
Msg = 0462427C865798D260
MD = 7050CFA5A9B132A0044D6D3FA078C0328C36A29370F18C7E494C2EB418C5991A0FCF6635E19D206DB573430FAE8C33596251917B3AD49776204643830FCF145C

Len = 69
Msg = A51806364AFBD2E830
MD = 07C25FEA43ED1E0C2DC5CA25165FCEFFC7C2127C462C325F9C4623D4C74D46040DBA8C591238626D1149BF3A42A9E88D6F7AF7EDBC08F4C9282DB01BF5B17577

Len = 70
Msg = F8CB65B7FE6995F200
MD = 40796AA317064AD58347914E0CBE7DB0D7B268114AFBA2C8EB3A5A3D5D56C5844CE42C15447FB6A31B7B417C316A7E7BA3D3CFE94AEE8D08CC3144A70E7FE9AD

Len = 71
Msg = 454C87F43DA37EDB04
MD = B8193D18CA61775FC16803961F56BF2184B278952C425F4D4BFBA33D6E39AE237BF846B414DFF3FF49611BFFEA0374E4D83B9B2482AEA29641B1B793A3D332E2

Len = 72
Msg = 1F66AB4185ED9B6375
MD = AE329E6EE5106D52727D96AAB0A587C1E67C3EE0D9868B2EDBE9B7E31A4E184054628A987E76EB610B332EDD88563ADA873BA4D264719191FDF33077A2B9A5D0

Len = 73
Msg = 5D7C71C275D9F5613E00
MD = 8729A1A50A4AFC97883D95AFA2C46F48209D394EBF94F9BB88E3F69B8D65E85C5AEE43164E31BBE41A6ACE4F455ECF0A48A349EE4962343523CF786E57630DF9

Len = 74
Msg = 1A533E4BD100A83884C0
MD = 5AF84AACD5FCFB4B2D671BA84CF3FB362B737032D73D87CF9FC10456CCC33DCB6D123EA602DF69F212992B6027497AF81E3280FA4D836BC0896B32B3863A4F2B

Len = 75
Msg = 7C8433BB4FD46EA17BE0
MD = 794B3231E84421F643CDF5BA3425F351313EA11FC103A5CA6D1B9C42D2CD1A7F39523E7FD8B3A38B14C141531C332D25007C6A156CDBE6F556B495BB141EFD3C

Len = 76
Msg = 8CACC33C81B29F0E8830
MD = E8F56AE4727D3A2A898DDC7EA23C06A128FCC4EC4C8C15457962B3D6803CD30E5897A3FA0C80A8CD9444242915B9DC59E278B947AB7DB202CEE3D22E56B4FFF0

Len = 77
Msg = 9CD0B4A48455A6716AC0
MD = 8AFC3174492BF7F74B09F082CB760947B943D453FA053DA9C78D9DBB39F374316C0BBD11613F02DDF63201229B618ABA4387D8C271558017093BD0A1C145D55C

Len = 78
Msg = 4DBF1B5FFD3D72D20F50
MD = 7923BDB2FFDED765A75700968D0DF4E9AD6F0626898F57B7F7036A19B596C59DB5AA178C9B47486DF1CB19A1F98B66FC9F45FF76D503F43A2137F3E7AFCE0865

Len = 79
Msg = BE31E2945E1BA17901C0
MD = 44B5953068793408CC17B8B7ED79601F696E3251ACFE257302038E97DA903422E820069CF6C26A7663566A120DBF51A86DCA74A03807C965864DE0C206BA0B49

Len = 80
Msg = EED7422227613B6F53C9
MD = 108646A2A66CA38F9A147702261B14D4072FF42F000A015947104B790ADA54039A0EA27D5546B382C882CAAAAF42A429B65BC1BEC4C7996CCD7BA0A437835A6E

Len = 81
Msg = 77B56B460796582D1FEE00
MD = 7FD8185FBD10D89C300DE04B9FDD71249476924D0C13C375640C01D696DD2CBFADD86A7DC7573036C47BE197B0EA27B61A739F43B7AFBF9A35180586F7EFB102

Len = 82
Msg = 5F085C1F91F2E5EB05C840
MD = 4FB27ED09193571A4660E44A42353A5E1EC345EFB8200FC36253854642050F18DD604EE9A980C71D42561DEBD989F995CB898778405F002B3D69F500A226AF5B

Len = 83
Msg = E5E559373233E6EF933120
MD = D907141E25FD38E5424BC4C7AE690D244EEC25283E9C84DA56069BBCDD46CC87748AD8D589736B6B7A0CB04A2A109DD91C680FCD6BD33CC1F4E15A2F9198DAB9

Len = 84
Msg = 670C357239C46D9E96DD20
MD = 5ECFFBF62A0B82DF60DD519E0E1F33FF184C1B53A1F8BA0A385B0A12955C5C172D6EF7BAF30342C60ED5130BD34B6DCED46F6F8BB2911683A61540743E5B9A9F

Len = 85
Msg = 33BAF96B35241EB2243230
MD = 9F2B8E6CB6C4B04DB2C6306B4EC6F8CF97621A6A04B6DC3839E3B36B8D85D3FDDD5EF05D19FA03E48F48FC6A3C42B393784EC002980AA8D1CCCD0CE06ED8BC22

Len = 86
Msg = 7148A621D35D6D486BDA90
MD = 14D8CBE3D4CDD0F3560267E1356171CEEF7F229253009FD548C2C693FEC54F4A547C2CA9C214C5C67B58AE2A5D61496CDE3C57BF45F591A7D373BFE0BA5F98E6

Len = 87
Msg = 9D7146B5E9C8246BEA8C4E
MD = 092AABEA2C550AB6182662598D58021BA0CE3C926F7F8F30CA7D273936A70645A7745E1FB1E8170388C29E19C76B22DD917D9E6A6EEF36D58385C76E8CF21FAD

Len = 88
Msg = EAEED5CDFFD89DECE455F1
MD = F741934B524728582A5E500DB63F04316C374BF4504D0EA8DFE040DB512C337C25F77EC343B6CAEB01306DF5540D506A07213A0EEACB8B4DBDDADABFC9A1A6C1

Len = 89
Msg = CAD98AD0D9BF161229074280
MD = A82797AD9ACDED1BE5B1CF53B74A0DE25E7D5402CA5647643AA36A1671A5EE154689E976624E0CC5D32F73ADC4866DD114BA4271911724CA310D21D4ACCCE272

Len = 90
Msg = 6B767F82890709DDF7A1EE80
MD = 5CCAE7BFB1B032FD518303440F1B348E80A461A2E2C6CC8B5FB44FC0BD7692CDD0733EBA06875487943533ED2ECB03B622F949A07DCA181F633D60BCBEE2AE38

Len = 91
Msg = 73697688CBBF28C51DDDDAE0
MD = 4C559D35484ABB99D7C6F758262162BBF7B94D7B38474B3108D3232C498BA830CA3843EB4CC037F46600FA05AEC6C258C4A0A9425E3B9CBD80F70DD24E42464A

Len = 92
Msg = A3C1967A97E58B43453D3760
MD = 71734BBC5AC7C2F14635AA5A93D8D558BA6FB39814686A0A3BF768F942F78BC0A409522497913DF22612A1C538E4E73C08200A8334B5F1F9711EE85F7BA12A24

Len = 93
Msg = 03981280D89F7EC9845C29A0
MD = C1CA50712D218AC972F375FCB1CCEE941182E2C54389049B54BE28084AD867D9ED8D3691899C5F70566673D9FED37A7315053361A9EFED66C29B1E983E7980B8

Len = 94
Msg = 0E42E6EFD4D3785EF0BB3A4C
MD = ADD791268A0749924358ED9429CEEA7698C0B5FBD3CB678139D0D7367DA4D8AB0984FA1D229AC4A75EB5D600E6B2ADE71854575F74392F6E8EAE5DB6BE5C3DCF

Len = 95
Msg = 6CE6B3C077865CAB3D099B66
MD = 5322283F6B1C6176D44DB15F01F93A9828D6CCDDF431A233CF32350F146B9394CB520FD9502B46B7A6C1336510C62F46EC750C155ABF7DC64E596DC58D8A9B30

Len = 96
Msg = 5BE43C90F22902E4FE8ED2D3
MD = 0FA5932DE07FEE6AA9B718B5C4F7634CCCD827A612FEA67728E4655C2C15F776D90B394D84670980EE41569918D58A79EC16DC560CA0333BAB0349D288440C2F

Len = 97
Msg = E94F8C8A909FFB8DF22C19FA80
MD = D25E8CF89CB0CFA7BDD718A57EA3EDF1D0BA1D1FE0EBFBB91BCA5E21A02DAD232C480B2CD09B75D7C93DE8467389971A96A4247BAAE40CD535E75FE3EC21CFEE

Len = 98
Msg = 004761F6028ADBDC4D5A8CA640
MD = 6EAE7235EA1A154729B33C4755C594D82A6D99CDD3940A1033043016960F96F27B6F83D947F1D2DBDAEB636CCCA7F243B0ED9687B17F146C01743A7A4560CEC9

Len = 99
Msg = B1BA2223CC3AC042D06554EAC0
MD = 4849A6DED20FE6DEA637A9E831E789D2C4FC351AAEA3A6DE44A019CC0B52C705493C9EC3CE3BDB33F8F317664A0C847C511889BEF8D72DB0B90F44CB1ADDD676

Len = 100
Msg = 746122438AD1B5B8989D64B320
MD = 4C98D6DB122E739AA34AA0BA47542AF80A9EB697F9341A67892E453524C985676751CC0F399C6AA3F0C7F3553D3E35016F275EB1FCCF9BB13F2CA4D97848DE5A

Len = 101
Msg = 3DAD6E4B69AE8BD16D830213E0
MD = EDC04E7997D2A6BFF41EFD1E5410658084786781E5E36337A29CF8B1DF29B5264C35BC3280E93D62546075DE8CC871B5CD35E7109D35A9A512036D07FF19A3F9

Len = 102
Msg = D441F54B918819F36B220B9608
MD = 045E60F9E11AA4F6F49555674844A9498E879208E7F2B303DC670A1209840B2DC55F615AD6DF64E7CFE527D5380CBC8D264F15FF35B4CBA7BF1CC6E4848EFA43

Len = 103
Msg = F44CE7427B6042ED343F6D2194
MD = 2FC657251F11510635E36EE8378780ABD4974934A143103B63850CB861D7DD8CE530C0A8BE86542E31A33BFF0DCE207957265D03DDC9A16973AA6063183E5AD3

Len = 104
Msg = A746273228122F381C3B46E4F1
MD = 1D93A0C3B6FF5A6BA20907D98DB0AF770A768A52EEB978BBB66BE6CF3B1783DDAB800A4872DBBEA6ADC80C1CDBDE92F310AAFA02F12A07DB2A4ACE964977B239

Len = 105
Msg = B883CDD1742C224246784DB69080
MD = 9E15D6C50650238E545E66F37575860A1C3BD1EA126F7385B217709418E1548983DBA67FEA546CCB8B8A268A375262DAA25DE03B282ADEBD1571B99E2232C5E3

Len = 106
Msg = 555FD729751EB2F8986B19578740
MD = 99E6D1BA501345235D3842D7C917BF0FEA9A65F78AFE66B99D515E1C2508655B79CA724CB192A94415EBD136CF9795CF3DAA9C8C2A3F0973FEA83737DEFADFC5

Len = 107
Msg = 7A609524C0F706F629441B978AE0
MD = CE184E46FA117C4ED1AEB02B0CDF9180F745061F37E8133711897A307BA6C058210F186338F1AD2C240FBE366F47834ACA34DBB8A6F9825246823874BA1D934C

Len = 108
Msg = AC79B374D401EFDB3232D0826C60
MD = 188E325572A8A6C264BC39FC64184643B94B5ACC34B2DF84FC5CCE493035EC282B3CC53AE7407A3CE42C0388716F4762B61C80C554D4B113555028447CC3E191

Len = 109
Msg = D8FC20BD0025C7582B7946947918
MD = 8C1BD2D36F80CCB46089031BDEE7DB5BF281ECAB2823BB8193E5E18574BC35B3716AA3753DA1162FEAFFC3D4E33C9D9E8B37DE376D31CFDC7678E417B26307FA

Len = 110
Msg = 0ECB1FC3F81F3236FA7B91F7AACC
MD = BAEDF5BA1627D8F97AD2BB581754A73DF13FCE532BA1E3753BE7AF2E2E6B035CB9C2317E29FDEED3F15631446EC00129F40C8A823F69354DAB6867FDCC6BEA5C

Len = 111
Msg = D5334CA10554C583F11D9F84A71E
MD = 6D0FD04EF72E503018AA41BAE0EDA4BE62AF1A4BEEE4EECB8291DD0A8B295C86C447AC878679DE9694B704722C703AFA9DA9AEB2D324441CFA0E021F7862E462

Len = 112
Msg = 3C5871CD619C69A63B540EB5A625
MD = 7900CCD4DE5D6DEB6D3DBF4EBB20EF0B91DCC655D137BE5ADEDF90FE9B59DE3ACBB7BB8AEC828D719777FDDC0FBD2E1A114CE0E582AF5733F04A2100B46AC6AE

Len = 113
Msg = A999538B0C31D7339A217C1484C680
MD = B74C4EB025F34ACD99B0A3DB294FE1A8B78EE6B2696BC2F15D54F6AF4A937386B58D122EC4D3A61E677A64A622AD58C01D396147842DE3EF115201857B9D462C

Len = 114
Msg = F4D4FEE364CE3CF439D0160EA7E780
MD = C95C3687BB1AE907D5CFC01965F6DD1AA8F62F43AFBDE59DC42DB6647D7D0D163462C85171FA30ABDF01A4BAD573314B06949861F8AF469F752A2247DCF920BB

Len = 115
Msg = 55A4FA6097E8753CCE38FB4E59D460
MD = 45E602D4E95AC74190F48AB925F74EDAAAD6588AC46A724F5EF33FDEFF92DD5B20FFDB8A5D724FD91DE2E13772E3BFCC568E442C9AA6F2A84F80D50A204D2E45

Len = 116
Msg = FEE0239360210B6E3761E6059DAC10
MD = E312591744D164A97E81A7925DB3EA83B50C824546F1AF8211151D52F9A733398E876D78554A23E82A3AD4E553D8B83808C09D8A25BA087291D183FFC59D7A82

Len = 117
Msg = 1750D5D521528582177DCDB046E008
MD = 19974D9234CF109D0FB19C458B7F92CBD2C152923B05C36834EC24AA57BB1EF914634F7B190705502B9B9688F17F1465BA46DA6D0A3927216A5F8C987B3F14A5

Len = 118
Msg = 68BF3921EF9DD0B6ABF732D9E508A4
MD = 321A226F3C6E357457F9575B1D8C00BA710880C5D9CC4994D5F695E8ADA9900EE04DBCD584BCBB27F3EB6230EF3CC2388C46EB7C8475B9CD8DFBE9AEDB2AC62F

Len = 119
Msg = C26037F951B3CE27D56C0303432FEA
MD = 5CDDF4D0AF0720539144D8FA8143F6CD6EF95C864CB358F89FFA994AD685D198F2CAC46B156E07F8576C47EA36AF6EA7A870B6A0E015036DD96D84AD0CF3B80C

Len = 120
